lp.;data;nazwa produktu;kolor;rozmiar;cena
78;11.04.2022;gitara klasyczna;bia造;39;1099
79;11.04.2022;gitara akustyczna;lipa;30;399
80;11.04.2022;ukulele tenorowe;czarny;17;399
81;11.04.2022;ukulele basowe;niebieski;17;879
82;11.04.2022;gitara akustyczna;niebieski;34;260
83;12.04.2022;gitara basowa;bia造;39;1129
84;12.04.2022;gitara akustyczna;czarny;34;260
85;12.04.2022;ukulele koncertowe;buk;15;265
86;12.04.2022;ukulele tenorowe;czerwony;17;399
87;12.04.2022;ukulele basowe;jesion;17;879
88;12.04.2022;ukulele koncertowe;czerwony;15;1379
89;12.04.2022;ukulele sopranowe;lipa;13;259
90;12.04.2022;ukulele koncertowe;czerwony;15;379
91;12.04.2022;gitara akustyczna;czerwony;38;1699
92;17.04.2022;ukulele tenorowe;lipa;17;1853
93;17.04.2022;ukulele sopranowe;lipa;13;229
94;17.04.2022;gitara klasyczna;bia造;39;795
95;17.04.2022;gitara elektryczna;czarny;38;1299
96;17.04.2022;ukulele sopranowe;lipa;13;229
97;17.04.2022;gitara akustyczna;lipa;30;299
98;24.04.2022;gitara klasyczna;bia造;39;699
99;24.04.2022;ukulele koncertowe;lipa;15;679
100;24.04.2022;ukulele koncertowe;lipa;15;379
101;24.04.2022;ukulele koncertowe;lipa;15;265
102;25.04.2022;ukulele sopranowe;czarny;13;169
103;25.04.2022;ukulele basowe;lipa;17;1199
104;25.04.2022;ukulele tenorowe;czerwony;17;1853
105;26.04.2022;gitara klasyczna;niebieski;38;369
106;26.04.2022;gitara akustyczna;lipa;38;649
107;26.04.2022;gitara basowa;lipa;34;450
108;26.04.2022;gitara akustyczna;czarny;34;260
109;26.04.2022;ukulele koncertowe;niebieski;15;379
110;30.04.2022;ukulele basowe;bia造;17;1499
111;30.04.2022;gitara klasyczna;lipa;34;360
112;30.04.2022;gitara akustyczna;lipa;39;1599
113;30.04.2022;ukulele tenorowe;czerwony;17;699
114;30.04.2022;gitara klasyczna;czerwony;38;699
115;30.04.2022;gitara elektryczna;czerwony;30;399
116;30.04.2022;ukulele koncertowe;bia造;15;679
117;30.04.2022;ukulele tenorowe;jesion;17;699
118;08.05.2022;gitara elektryczna;buk;34;695
119;08.05.2022;gitara elektryczna;jesion;34;480
120;08.05.2022;gitara klasyczna;klon;39;795
121;08.05.2022;gitara klasyczna;czerwony;38;796
122;08.05.2022;ukulele tenorowe;bia造;17;1853
123;08.05.2022;ukulele tenorowe;czerwony;17;699
124;08.05.2022;gitara elektryczna;buk;38;1599
125;08.05.2022;ukulele tenorowe;r騜owy;17;399
126;08.05.2022;ukulele basowe;niebieski;17;879
127;08.05.2022;gitara akustyczna;lipa;39;1599
128;08.05.2022;gitara elektroakustyczna;klon;30;499
129;08.05.2022;gitara basowa;niebieski;34;450
130;08.05.2022;gitara akustyczna;lipa;38;1400
131;08.05.2022;ukulele sopranowe;lipa;13;169
132;08.05.2022;gitara klasyczna;niebieski;34;499
133;08.05.2022;ukulele sopranowe;lipa;13;169
134;08.05.2022;gitara klasyczna;klon;30;399
135;08.05.2022;ukulele basowe;klon;17;879
136;08.05.2022;gitara akustyczna;czerwony;38;649
137;08.05.2022;ukulele sopranowe;lipa;13;169
138;08.05.2022;gitara klasyczna;klon;39;499
139;09.05.2022;gitara akustyczna;lipa;30;499
140;09.05.2022;ukulele basowe;czerwony;17;1199
141;09.05.2022;ukulele sopranowe;bia造;13;229
142;09.05.2022;ukulele koncertowe;buk;15;379
143;09.05.2022;ukulele basowe;czerwony;17;1499
144;09.05.2022;ukulele sopranowe;czarny;13;229
145;09.05.2022;gitara akustyczna;niebieski;38;1400
146;10.05.2022;gitara akustyczna;lipa;39;955
147;10.05.2022;gitara elektryczna;klon;34;699
148;15.05.2022;ukulele koncertowe;czerwony;15;1379
149;15.05.2022;gitara basowa;niebieski;34;699
150;15.05.2022;gitara elektryczna;lipa;34;699
151;15.05.2022;gitara elektryczna;czerwony;34;480
152;15.05.2022;ukulele koncertowe;czerwony;15;379
153;15.05.2022;ukulele tenorowe;bia造;17;399
154;15.05.2022;ukulele basowe;klon;17;1199
155;15.05.2022;gitara klasyczna;klon;34;360
156;16.05.2022;gitara akustyczna;czerwony;30;299
157;16.05.2022;ukulele koncertowe;czerwony;15;265
158;22.05.2022;gitara akustyczna;lipa;39;1129
159;22.05.2022;ukulele koncertowe;czerwony;15;679
160;22.05.2022;ukulele sopranowe;lipa;13;229
161;22.05.2022;gitara klasyczna;niebieski;38;1195
162;22.05.2022;gitara basowa;niebieski;30;1399
163;29.05.2022;gitara klasyczna;czarny;34;499
164;29.05.2022;gitara akustyczna;lipa;34;260
165;29.05.2022;ukulele tenorowe;buk;17;1853
166;29.05.2022;ukulele sopranowe;bia造;13;259
167;30.05.2022;ukulele basowe;niebieski;17;1499
168;30.05.2022;gitara basowa;niebieski;39;1329
169;30.05.2022;gitara elektryczna;niebieski;39;699
170;30.05.2022;ukulele sopranowe;klon;13;259
171;04.06.2022;gitara akustyczna;niebieski;30;899
172;04.06.2022;ukulele koncertowe;czerwony;15;379
173;04.06.2022;ukulele tenorowe;buk;17;399
174;04.06.2022;ukulele tenorowe;lipa;17;699
175;04.06.2022;ukulele basowe;lipa;17;879
176;05.06.2022;gitara elektryczna;jesion;34;480
177;05.06.2022;ukulele basowe;buk;17;879
178;05.06.2022;ukulele sopranowe;lipa;13;259
179;05.06.2022;ukulele sopranowe;lipa;13;259
180;05.06.2022;gitara elektryczna;buk;39;1395
181;08.06.2022;gitara akustyczna;niebieski;38;499
182;08.06.2022;gitara basowa;niebieski;39;1699
183;12.06.2022;ukulele koncertowe;czerwony;15;379
184;12.06.2022;ukulele sopranowe;niebieski;13;259
185;12.06.2022;gitara basowa;niebieski;39;789
186;12.06.2022;ukulele sopranowe;lipa;13;229
187;12.06.2022;gitara klasyczna;klon;30;399
188;12.06.2022;gitara akustyczna;lipa;30;399
189;13.06.2022;gitara akustyczna;lipa;39;465
190;14.06.2022;ukulele koncertowe;niebieski;15;379
191;14.06.2022;ukulele sopranowe;czarny;13;229
192;14.06.2022;ukulele basowe;czerwony;17;879
193;14.06.2022;ukulele basowe;czerwony;17;1499
194;14.06.2022;gitara basowa;lipa;34;450
195;14.06.2022;gitara akustyczna;lipa;30;399
196;19.06.2022;gitara akustyczna;lipa;30;299
197;19.06.2022;ukulele koncertowe;buk;15;265
198;19.06.2022;ukulele sopranowe;czarny;13;229
199;19.06.2022;gitara akustyczna;lipa;39;1129
200;19.06.2022;gitara akustyczna;czarny;34;260
201;20.06.2022;ukulele sopranowe;bia造;13;169
202;20.06.2022;gitara basowa;lipa;34;450
203;20.06.2022;gitara akustyczna;niebieski;39;1129
204;20.06.2022;gitara akustyczna;lipa;38;955
205;27.06.2022;ukulele tenorowe;czerwony;17;399
206;27.06.2022;ukulele basowe;buk;17;1499
207;27.06.2022;gitara elektryczna;jesion;38;1299
208;27.06.2022;ukulele koncertowe;buk;15;1379
209;27.06.2022;gitara akustyczna;buk;34;260
210;27.06.2022;gitara akustyczna;lipa;34;260
211;27.06.2022;ukulele basowe;lipa;17;1199
212;27.06.2022;gitara klasyczna;niebieski;30;399
213;27.06.2022;ukulele basowe;lipa;17;1199
214;27.06.2022;ukulele tenorowe;czarny;17;699
215;28.06.2022;gitara akustyczna;czerwony;39;955
216;28.06.2022;gitara elektryczna;lipa;34;699
217;28.06.2022;ukulele basowe;niebieski;17;879
218;28.06.2022;gitara basowa;niebieski;30;1699
219;28.06.2022;ukulele koncertowe;niebieski;15;679
220;28.06.2022;ukulele basowe;buk;15;879
221;28.06.2022;ukulele sopranowe;niebieski;13;169
222;28.06.2022;ukulele koncertowe;bia造;15;379
223;28.06.2022;ukulele basowe;niebieski;15;1499
224;04.07.2022;ukulele koncertowe;buk;15;265
225;04.07.2022;ukulele koncertowe;lipa;15;379
226;04.07.2022;ukulele tenorowe;czerwony;17;1853
227;04.07.2022;ukulele basowe;klon;15;879
228;04.07.2022;ukulele sopranowe;czerwony;13;169
229;04.07.2022;ukulele sopranowe;r騜owy;13;229
230;04.07.2022;gitara akustyczna;klon;30;499
231;04.07.2022;ukulele sopranowe;buk;13;229
232;04.07.2022;ukulele sopranowe;czarny;13;229
233;05.07.2022;gitara elektryczna;klon;30;399
234;05.07.2022;ukulele sopranowe;lipa;13;229
235;05.07.2022;gitara klasyczna;klon;30;895
236;05.07.2022;gitara basowa;lipa;30;1799
237;05.07.2022;ukulele tenorowe;czarny;17;1853
238;11.07.2022;gitara elektryczna;lipa;39;899
239;11.07.2022;ukulele tenorowe;lipa;17;399
240;11.07.2022;ukulele sopranowe;jesion;13;229
241;11.07.2022;gitara klasyczna;niebieski;38;1359
242;11.07.2022;gitara klasyczna;czerwony;38;369
243;11.07.2022;gitara elektryczna;czarny;30;399
244;11.07.2022;ukulele koncertowe;buk;15;265
245;18.07.2022;ukulele tenorowe;niebieski;17;229
246;18.07.2022;ukulele basowe;lipa;15;1199
247;18.07.2022;gitara akustyczna;lipa;30;499
248;18.07.2022;gitara akustyczna;buk;39;465
249;18.07.2022;gitara elektryczna;niebieski;39;499
250;18.07.2022;gitara elektryczna;buk;38;899
251;18.07.2022;gitara elektryczna;niebieski;30;695
252;18.07.2022;gitara elektryczna;czarny;30;1299
253;18.07.2022;ukulele sopranowe;lipa;13;229
254;24.07.2022;gitara akustyczna;czarny;30;899
255;24.07.2022;ukulele sopranowe;bia造;13;229
256;24.07.2022;ukulele tenorowe;bia造;17;1853
257;24.07.2022;gitara elektryczna;jesion;39;1199
258;24.07.2022;ukulele koncertowe;lipa;15;379
259;30.07.2022;gitara klasyczna;bia造;34;360
260;30.07.2022;gitara elektryczna;czerwony;30;299
261;30.07.2022;ukulele basowe;czerwony;15;1499
262;30.07.2022;ukulele tenorowe;r騜owy;17;399
263;30.07.2022;gitara elektryczna;bia造;30;299
264;30.07.2022;gitara elektryczna;bia造;38;899
265;30.07.2022;gitara akustyczna;buk;30;299
266;02.08.2022;gitara klasyczna;czarny;38;1195
267;02.08.2022;ukulele tenorowe;klon;17;699
268;02.08.2022;ukulele tenorowe;lipa;17;399
269;02.08.2022;ukulele basowe;czerwony;15;1499
270;03.08.2022;gitara klasyczna;bia造;39;1099
271;03.08.2022;gitara akustyczna;klon;39;465
272;03.08.2022;gitara elektryczna;czerwony;39;899
273;08.08.2022;ukulele koncertowe;czerwony;15;679
274;08.08.2022;ukulele tenorowe;lipa;17;1853
275;08.08.2022;ukulele tenorowe;klon;17;699
276;09.08.2022;gitara klasyczna;niebieski;34;499
277;09.08.2022;gitara elektryczna;lipa;38;699
278;09.08.2022;ukulele tenorowe;czerwony;17;399
279;09.08.2022;ukulele sopranowe;klon;13;259
280;09.08.2022;ukulele basowe;niebieski;15;1199
281;09.08.2022;ukulele basowe;niebieski;15;879
282;09.08.2022;gitara akustyczna;lipa;38;649
283;14.08.2022;ukulele koncertowe;bia造;15;1379
284;14.08.2022;gitara elektryczna;czerwony;38;699
285;16.08.2022;gitara akustyczna;czerwony;30;399
286;16.08.2022;gitara elektryczna;czerwony;30;499
287;17.08.2022;ukulele koncertowe;czarny;15;379
288;17.08.2022;gitara klasyczna;bia造;38;699
289;17.08.2022;ukulele sopranowe;bia造;13;259
290;17.08.2022;ukulele basowe;lipa;15;1499
291;17.08.2022;ukulele basowe;niebieski;15;879
292;21.08.2022;ukulele tenorowe;czarny;17;399
293;21.08.2022;ukulele basowe;buk;15;1499
294;21.08.2022;ukulele sopranowe;lipa;13;259
295;21.08.2022;gitara klasyczna;bia造;30;895
296;23.08.2022;ukulele tenorowe;lipa;17;1853
297;23.08.2022;gitara elektryczna;klon;30;499
298;23.08.2022;ukulele tenorowe;czarny;17;699
299;23.08.2022;gitara klasyczna;niebieski;38;699
300;24.08.2022;ukulele tenorowe;buk;17;229
301;24.08.2022;ukulele basowe;lipa;15;879
302;30.08.2022;gitara basowa;niebieski;30;1699
303;30.08.2022;gitara akustyczna;czarny;34;260
304;30.08.2022;gitara akustyczna;klon;39;1599
305;30.08.2022;ukulele sopranowe;lipa;13;259
306;31.08.2022;ukulele sopranowe;bia造;13;229
307;31.08.2022;gitara elektryczna;czarny;38;699
308;31.08.2022;ukulele basowe;klon;15;1199
309;31.08.2022;gitara elektryczna;czarny;30;1299
310;31.08.2022;ukulele sopranowe;lipa;13;229
311;31.08.2022;gitara klasyczna;bia造;34;569
312;04.09.2022;gitara elektryczna;buk;30;399
313;04.09.2022;gitara akustyczna;bia造;30;399
314;05.09.2022;ukulele sopranowe;klon;13;169
315;05.09.2022;ukulele tenorowe;czarny;17;229
316;05.09.2022;ukulele basowe;jesion;15;1499
317;05.09.2022;ukulele sopranowe;lipa;13;169
318;05.09.2022;gitara elektryczna;lipa;34;480
319;07.09.2022;ukulele tenorowe;niebieski;17;1853
320;07.09.2022;gitara akustyczna;lipa;38;1699
321;10.09.2022;gitara elektryczna;czarny;39;899
322;10.09.2022;gitara elektryczna;klon;34;480
323;10.09.2022;ukulele tenorowe;lipa;17;699
324;12.09.2022;gitara klasyczna;klon;38;699
325;12.09.2022;gitara akustyczna;buk;34;360
326;14.09.2022;ukulele tenorowe;klon;17;399
327;14.09.2022;gitara elektryczna;jesion;30;399
328;18.09.2022;ukulele tenorowe;czerwony;17;399
329;18.09.2022;gitara klasyczna;lipa;30;499
330;19.09.2022;gitara akustyczna;lipa;34;360
331;19.09.2022;gitara basowa;niebieski;38;1400
332;25.09.2022;ukulele koncertowe;czerwony;15;379
333;25.09.2022;ukulele sopranowe;czerwony;13;169
334;25.09.2022;gitara elektryczna;bia造;39;499
335;25.09.2022;ukulele basowe;lipa;15;699
336;27.09.2022;ukulele sopranowe;lipa;13;169
337;27.09.2022;ukulele koncertowe;lipa;15;265
338;27.09.2022;gitara basowa;lipa;39;1329
339;27.09.2022;gitara klasyczna;niebieski;34;569
340;27.09.2022;gitara akustyczna;lipa;39;1129
341;27.09.2022;gitara klasyczna;niebieski;39;699
342;27.09.2022;gitara elektryczna;czerwony;30;399
343;02.10.2022;gitara elektryczna;niebieski;30;399
344;02.10.2022;gitara akustyczna;lipa;38;1699
345;02.10.2022;ukulele koncertowe;r騜owy;15;1379
346;09.10.2022;ukulele basowe;czerwony;15;1199
347;09.10.2022;gitara elektryczna;czerwony;38;1299
348;09.10.2022;ukulele basowe;czarny;15;1499
349;10.10.2022;gitara akustyczna;czerwony;34;360
350;10.10.2022;gitara akustyczna;lipa;39;1599
351;10.10.2022;gitara elektryczna;jesion;39;1199
352;10.10.2022;gitara elektryczna;czarny;39;699
353;15.10.2022;ukulele sopranowe;czerwony;13;169
354;15.10.2022;gitara elektryczna;czarny;39;899
355;15.10.2022;ukulele basowe;czarny;15;1199
356;17.10.2022;ukulele koncertowe;czarny;15;379
357;17.10.2022;ukulele tenorowe;bia造;17;1853
358;22.10.2022;gitara akustyczna;niebieski;34;360
359;22.10.2022;ukulele sopranowe;lipa;13;229
360;24.10.2022;gitara elektryczna;bia造;38;899
361;24.10.2022;ukulele koncertowe;lipa;15;679
362;24.10.2022;gitara elektryczna;lipa;30;499
363;25.10.2022;ukulele tenorowe;lipa;17;699
364;25.10.2022;ukulele tenorowe;czarny;17;229
365;29.10.2022;ukulele basowe;klon;15;1499
366;29.10.2022;gitara klasyczna;klon;34;499
367;29.10.2022;gitara elektryczna;bia造;38;1299
368;29.10.2022;gitara akustyczna;lipa;38;649
369;29.10.2022;ukulele basowe;lipa;15;1499
370;29.10.2022;ukulele basowe;bia造;15;879
371;29.10.2022;ukulele sopranowe;lipa;13;229
372;30.10.2022;gitara klasyczna;niebieski;34;499
373;30.10.2022;ukulele basowe;buk;15;1199
374;30.10.2022;ukulele tenorowe;czarny;17;229
375;06.11.2022;gitara klasyczna;bia造;30;499
376;06.11.2022;gitara klasyczna;niebieski;38;1195
377;07.11.2022;gitara akustyczna;lipa;38;1699
378;13.11.2022;ukulele sopranowe;bia造;13;229
379;13.11.2022;ukulele koncertowe;lipa;15;379
380;14.11.2022;ukulele tenorowe;czerwony;17;1853
381;14.11.2022;ukulele tenorowe;niebieski;17;699
382;14.11.2022;gitara basowa;lipa;34;699
383;27.11.2022;gitara klasyczna;niebieski;39;795
384;27.11.2022;ukulele basowe;bia造;15;1199
385;05.12.2022;ukulele koncertowe;czerwony;15;265
386;05.12.2022;gitara basowa;niebieski;38;1699
387;11.12.2022;ukulele basowe;lipa;15;879
388;19.12.2022;ukulele tenorowe;czerwony;17;699
389;28.12.2022;gitara elektryczna;buk;34;699
390;01.01.2022;gitara elektryczna;lipa;39;499
391;02.01.2022;ukulele sopranowe;czarny;13;229
392;03.01.2022;ukulele tenorowe;lipa;17;229
393;04.01.2022;ukulele tenorowe;czerwony;17;229
394;04.01.2022;ukulele sopranowe;czerwony;13;229
395;04.01.2022;ukulele koncertowe;bia造;15;379
396;06.01.2022;ukulele basowe;niebieski;15;699
397;08.01.2022;gitara basowa;lipa;39;1329
398;10.01.2022;ukulele sopranowe;r騜owy;13;259
399;10.01.2022;gitara basowa;bia造;30;499
400;12.01.2022;ukulele basowe;niebieski;15;699
401;12.01.2022;gitara klasyczna;niebieski;38;796
402;13.01.2022;gitara klasyczna;bia造;39;699
403;15.01.2022;ukulele tenorowe;czarny;17;1853
404;16.01.2022;ukulele sopranowe;czerwony;13;259
405;17.01.2022;ukulele tenorowe;buk;17;399
406;17.01.2022;ukulele sopranowe;bia造;13;259
407;18.01.2022;gitara akustyczna;lipa;38;499
408;19.01.2022;ukulele sopranowe;bia造;13;259
409;22.01.2022;ukulele sopranowe;czarny;13;229
410;22.01.2022;ukulele basowe;niebieski;15;1499
411;22.01.2022;gitara basowa;lipa;34;450
412;23.01.2022;ukulele koncertowe;lipa;15;1379
413;23.01.2022;ukulele koncertowe;niebieski;15;679
414;24.01.2022;ukulele sopranowe;buk;13;229
415;25.01.2022;ukulele basowe;lipa;15;1499
416;25.01.2022;ukulele basowe;bia造;15;1499
417;26.01.2022;gitara klasyczna;bia造;34;360
418;26.01.2022;gitara elektryczna;niebieski;39;1395
419;26.01.2022;ukulele koncertowe;klon;15;379
420;27.01.2022;ukulele koncertowe;buk;15;379
421;27.01.2022;ukulele sopranowe;niebieski;13;169
422;29.01.2022;gitara basowa;czerwony;39;1699
423;29.01.2022;ukulele sopranowe;niebieski;13;169
424;30.01.2022;ukulele sopranowe;lipa;13;169
425;31.01.2022;gitara elektroakustyczna;niebieski;39;1699
426;31.01.2022;gitara akustyczna;czarny;30;899
427;31.01.2022;ukulele tenorowe;czerwony;17;399
428;31.01.2022;ukulele koncertowe;buk;15;265
429;31.01.2022;ukulele tenorowe;klon;17;699
430;01.02.2022;ukulele sopranowe;czarny;13;169
431;01.02.2022;ukulele tenorowe;lipa;17;699
432;01.02.2022;ukulele sopranowe;czerwony;13;169
433;01.02.2022;gitara basowa;czerwony;38;899
434;01.02.2022;gitara basowa;niebieski;30;499
435;03.02.2022;gitara akustyczna;niebieski;34;360
436;03.02.2022;ukulele basowe;lipa;15;879
437;05.02.2022;ukulele sopranowe;czerwony;13;229
438;05.02.2022;ukulele sopranowe;niebieski;13;229
439;05.02.2022;gitara elektryczna;lipa;39;1395
440;05.02.2022;gitara akustyczna;lipa;30;499
441;05.02.2022;gitara klasyczna;klon;38;796
442;05.02.2022;gitara basowa;niebieski;39;1699
443;06.02.2022;ukulele sopranowe;niebieski;13;229
444;06.02.2022;ukulele koncertowe;czerwony;15;379
445;06.02.2022;gitara klasyczna;klon;39;795
446;06.02.2022;gitara elektryczna;czarny;38;1299
447;06.02.2022;ukulele tenorowe;niebieski;17;1853
448;07.02.2022;gitara basowa;niebieski;30;1699
449;07.02.2022;gitara basowa;bia造;34;450
450;07.02.2022;gitara klasyczna;niebieski;38;369
451;08.02.2022;ukulele koncertowe;niebieski;15;1379
452;08.02.2022;gitara basowa;niebieski;39;789
453;08.02.2022;gitara klasyczna;niebieski;39;499
454;08.02.2022;ukulele koncertowe;niebieski;15;679
455;09.02.2022;ukulele koncertowe;lipa;15;379
456;09.02.2022;ukulele tenorowe;niebieski;17;399
457;09.02.2022;gitara elektryczna;niebieski;34;695
458;10.02.2022;gitara akustyczna;niebieski;34;260
459;10.02.2022;ukulele basowe;lipa;15;1199
460;12.02.2022;gitara elektryczna;r騜owy;30;499
461;12.02.2022;ukulele tenorowe;lipa;17;399
462;13.02.2022;ukulele koncertowe;czarny;15;265
463;13.02.2022;ukulele basowe;lipa;15;1199
464;13.02.2022;ukulele basowe;lipa;15;1499
465;13.02.2022;gitara klasyczna;niebieski;34;360
466;13.02.2022;gitara akustyczna;czerwony;38;955
467;14.02.2022;ukulele koncertowe;klon;15;1379
468;14.02.2022;ukulele koncertowe;lipa;15;679
469;14.02.2022;gitara elektryczna;czerwony;38;699
470;15.02.2022;gitara klasyczna;bia造;30;895
471;15.02.2022;ukulele koncertowe;buk;15;379
472;15.02.2022;ukulele koncertowe;r騜owy;15;1379
473;16.02.2022;ukulele basowe;czerwony;15;1499
474;16.02.2022;ukulele sopranowe;czerwony;13;229
475;16.02.2022;gitara klasyczna;klon;38;1359
476;17.02.2022;gitara basowa;niebieski;30;1399
477;17.02.2022;gitara klasyczna;niebieski;38;699
478;19.02.2022;ukulele koncertowe;lipa;15;379
479;19.02.2022;gitara elektroakustyczna;lipa;34;695
480;19.02.2022;gitara klasyczna;lipa;39;360
481;20.02.2022;gitara akustyczna;czerwony;38;1699
482;20.02.2022;gitara akustyczna;lipa;39;1129
483;21.02.2022;gitara basowa;lipa;30;1399
484;21.02.2022;ukulele sopranowe;czarny;13;229
485;21.02.2022;ukulele basowe;lipa;15;879
486;22.02.2022;gitara basowa;bia造;30;1799
487;22.02.2022;gitara elektryczna;czerwony;38;699
488;22.02.2022;gitara elektryczna;niebieski;30;695
489;22.02.2022;ukulele tenorowe;jesion;17;399
490;23.02.2022;ukulele sopranowe;lipa;13;259
491;23.02.2022;ukulele sopranowe;niebieski;13;259
492;24.02.2022;gitara elektryczna;buk;34;480
493;24.02.2022;ukulele basowe;buk;15;699
494;24.02.2022;ukulele sopranowe;klon;13;259
495;24.02.2022;gitara elektryczna;niebieski;30;1299
496;26.02.2022;ukulele tenorowe;czarny;17;399
497;26.02.2022;ukulele sopranowe;bia造;13;229
498;26.02.2022;gitara elektryczna;czerwony;38;1299
499;27.02.2022;gitara elektryczna;niebieski;39;899
500;27.02.2022;ukulele basowe;buk;15;1199
501;27.02.2022;gitara elektroakustyczna;czerwony;34;695
502;27.02.2022;ukulele basowe;bia造;15;1199
503;27.02.2022;ukulele basowe;czerwony;15;1499
504;27.02.2022;gitara akustyczna;czerwony;39;955
505;28.02.2022;gitara akustyczna;lipa;34;360
506;28.02.2022;ukulele sopranowe;lipa;13;229
507;28.02.2022;gitara akustyczna;czerwony;38;1400
508;28.02.2022;ukulele tenorowe;lipa;17;1853
509;28.02.2022;gitara elektryczna;niebieski;39;499
510;01.03.2022;gitara akustyczna;lipa;38;649
511;01.03.2022;gitara elektroakustyczna;niebieski;38;1699
512;01.03.2022;ukulele koncertowe;klon;15;679
513;01.03.2022;ukulele tenorowe;czerwony;17;699
514;01.03.2022;ukulele sopranowe;lipa;13;229
515;01.03.2022;gitara akustyczna;czerwony;38;955
516;02.03.2022;ukulele basowe;bia造;15;879
517;02.03.2022;gitara elektryczna;czerwony;34;695
518;02.03.2022;gitara akustyczna;lipa;38;1699
519;02.03.2022;ukulele koncertowe;bia造;15;379
520;02.03.2022;gitara klasyczna;czarny;38;369
521;02.03.2022;gitara basowa;czarny;34;699
522;02.03.2022;gitara akustyczna;lipa;39;465
